,PostalCode,Borough,Neighborhood,Latitude,Longitude
8,M4B,East York,Parkview Hill,43.7062977,-79.3219073
9,M5B,Downtown Toronto,Garden District,43.6564995,-79.3771141
10,M6B,North York,Glencairn,43.7087117,-79.4406853
11,M9B,Etobicoke,West Deane Park,43.6631995,-79.5685684
12,M1C,Scarborough,Rouge Hill,43.7802711,-79.1304992
13,M3C,North York,Don Mills,43.775347,-79.3459439
14,M4C,East York,Woodbine Heights,43.69992,-79.319279
15,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
16,M6C,York,Humewood,43.6857205,-79.4251158
17,M9C,Etobicoke,Eringate,43.6622732,-79.5765162
18,M1E,Scarborough,Guildwood,43.7552251,-79.1982293
19,M4E,East Toronto,The Beaches,43.6710244,-79.296712
20,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858
21,M6E,York,Caledonia,43.6923702,-79.4653558
22,M1G,Scarborough,Woburn,43.7598243,-79.2252908
23,M4G,East York,Leaside,43.7047983,-79.3680904
24,M5G,Downtown Toronto,Central Bay Street,43.6597555,-79.3853931
25,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
26,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802
27,M2H,North York,Hillcrest Village,43.6816953,-79.4257118
28,M3H,North York,Bathurst Manor,43.6655189,-79.4119373
29,M4H,East York,Thorncliffe Park,43.704553,-79.3454074
30,M5H,Downtown Toronto,Richmond,43.6485875,-79.3913729
31,M6H,West Toronto,Dufferin,43.6602019,-79.4357191
32,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
33,M2J,North York,Fairview,43.777758500000004,-79.34429375180316
34,M3J,North York,Northwood Park,43.7541351,-79.50448
35,M4J,East York,East Toronto,43.6247901,-79.3934918
36,M5J,Downtown Toronto,Harbourfront East,43.6400801,-79.3801495
37,M6J,West Toronto,Little Portugal,43.64741325,-79.43111632546047
38,M1K,Scarborough,Kennedy Park,43.724878,-79.2539688
39,M2K,North York,Bayview Village,43.7691966,-79.3766617
40,M3K,North York,Downsview,43.7492988,-79.462248
41,M4K,East Toronto,The Danforth West,43.6864333,-79.3003555
42,M5K,Downtown Toronto,Toronto Dominion Centre,43.6473768,-79.3813719429129
43,M6K,West Toronto,Brockton,43.6509173,-79.4400216
44,M1L,Scarborough,Golden Mile,43.7278414,-79.2876217
45,M2L,North York,York Mills,43.7440391,-79.406657
46,M3L,North York,Downsview,43.7492988,-79.462248
47,M4L,East Toronto,India Bazaar,43.6722231,-79.3235032
48,M5L,Downtown Toronto,Commerce Court,43.648163800000006,-79.37776594404383
49,M6L,North York,North Park,43.7186899,-79.4775337
50,M9L,North York,Humber Summit,43.7600778,-79.5717598
51,M1M,Scarborough,Cliffside,43.7111699,-79.2481769
52,M2M,North York,Willowdale,43.7615095,-79.4109234
53,M3M,North York,Downsview,43.7492988,-79.462248
54,M4M,East Toronto,Studio District,43.64958515,-79.39068322559326
55,M5M,North York,Bedford Park,43.7373876,-79.4109253
57,M9M,North York,Humberlea,43.7213166,-79.5331605
58,M1N,Scarborough,Birch Cliff,43.6918051,-79.2644935
59,M2N,North York,Willowdale,43.7615095,-79.4109234
60,M3N,North York,Downsview,43.7492988,-79.462248
61,M4N,Central Toronto,Lawrence Park,43.729199,-79.4032525
62,M5N,Central Toronto,Roselawn,43.7087103,-79.4097894
63,M6N,York,Runnymede,43.6517026,-79.4759978
64,M9N,York,Weston,43.7001608,-79.5162474
65,M1P,Scarborough,Dorset Park,43.7528467,-79.282067
66,M2P,North York,York Mills West,43.7440391,-79.406657
67,M4P,Central Toronto,Davisville North,43.697936,-79.3972908
68,M5P,Central Toronto,Forest Hill North & West,43.701028,-79.4255998
69,M6P,West Toronto,High Park,43.6538668,-79.4668644
70,M9P,Etobicoke,Westmount,43.6936399,-79.5210426
71,M1R,Scarborough,Wexford,43.7453767,-79.2947155
72,M2R,North York,Willowdale,43.7615095,-79.4109234
73,M4R,Central Toronto,North Toronto West,43.6465466,-79.4195263
74,M5R,Central Toronto,The Annex,43.6703377,-79.407117
75,M6R,West Toronto,Parkdale,43.6404954,-79.4368965
77,M9R,Etobicoke,Kingsview Village,43.6995391,-79.5563459
78,M1S,Scarborough,Agincourt,43.7853531,-79.2785494
79,M4S,Central Toronto,Davisville,43.697936,-79.3972908
80,M5S,Downtown Toronto,University of Toronto,43.663461999999996,-79.39775965337452
81,M6S,West Toronto,Runnymede,43.6517026,-79.4759978
82,M1T,Scarborough,Clarks Corners,43.7964095,-79.2977951
83,M4T,Central Toronto,Moore Park,43.6903876,-79.3832965
84,M5T,Downtown Toronto,Kensington Market,43.6552136,-79.4022604
85,M1V,Scarborough,Milliken,43.8231743,-79.3017626
86,M4V,Central Toronto,Summerhill West,43.6816776,-79.3905037
87,M5V,Downtown Toronto,CN Tower,43.6425637,-79.38708718320467
88,M8V,Etobicoke,New Toronto,43.6007625,-79.505264
89,M9V,Etobicoke,South Steeles,43.8161778,-79.3145378
90,M1W,Scarborough,Steeles West,43.8161778,-79.3145378
91,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
93,M8W,Etobicoke,Alderwood,43.6017173,-79.5452325
94,M9W,Etobicoke,Northwest,43.6465466,-79.4195263
95,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
96,M4X,Downtown Toronto,St. James Town,43.6694032,-79.3727041
97,M5X,Downtown Toronto,First Canadian Place,43.6487681,-79.38169179283025
98,M8X,Etobicoke,The Kingsway,43.6473811,-79.5113328
99,M4Y,Downtown Toronto,Church and Wellesley,43.6708625,-79.37279241253721
101,M8Y,Etobicoke,Old Mill South,43.649826,-79.4943338
102,M8Z,Etobicoke,Mimico NW,43.6166773,-79.4968048
